Age,EdLevel,Gender,YearsCode,YearsCodePro,ComputerSkills,Accessibility,MentalHealth,MainBranch
0,1,0,25,15,21,0,0,1
1,3,0,14,11,8,0,0,1
0,2,0,5,2,10,0,0,1
0,2,0,8,5,16,0,0,1
0,2,0,11,7,16,0,0,1
0,3,0,8,8,16,0,0,1
0,2,0,5,2,14,0,1,1
0,1,0,15,8,7,0,0,1
0,2,1,5,0,13,0,0,1
0,3,0,4,2,16,0,0,1
0,2,0,8,4,8,0,0,1
0,2,0,4,0,11,0,0,1
0,1,0,16,11,10,0,0,1
0,0,0,13,4,16,0,1,1
1,1,0,20,10,27,0,0,1
1,3,0,20,10,5,0,0,1
0,3,0,14,5,12,0,1,1
1,1,0,25,13,6,0,1,1
0,2,0,15,7,13,0,0,1
1,3,0,15,6,14,0,0,1
0,1,0,6,3,5,0,0,1
1,2,0,20,20,4,0,1,1
0,2,0,9,5,20,0,0,1
1,2,0,28,6,26,0,0,1
0,2,0,9,5,12,0,0,1
0,2,0,13,10,20,0,0,1
0,2,0,6,0,22,0,0,1
1,3,1,25,19,10,0,1,1
0,3,0,3,3,11,0,0,0
1,2,0,25,21,16,0,0,1
1,0,0,30,12,10,0,1,1
1,3,0,15,10,18,0,0,1
0,2,0,8,5,14,0,1,1
1,2,0,25,20,11,0,0,1
1,3,0,25,16,8,0,0,1
0,3,0,17,12,9,0,0,1
0,2,0,5,1,3,0,0,1
0,1,0,9,8,36,0,0,1
0,2,0,13,11,30,0,0,1
0,2,0,8,4,10,0,0,1
0,3,0,16,12,52,0,0,1
0,3,0,11,2,16,0,1,1
0,2,0,8,2,15,0,0,1
1,2,0,20,9,20,0,0,1
1,2,0,6,4,9,0,0,1
1,2,0,12,10,16,0,0,1
0,2,0,15,7,13,0,0,1
0,2,0,10,5,14,0,0,1
0,3,0,20,8,12,0,0,1
0,0,0,6,6,14,0,1,1
0,0,0,4,0,23,0,1,1
1,4,0,22,18,10,0,1,1
1,3,0,42,27,9,0,0,1
0,3,0,13,9,17,0,0,1
0,2,0,8,4,22,0,1,1
0,3,0,19,14,8,0,0,1
1,3,0,20,16,7,0,0,1
1,1,0,25,20,28,0,0,1
0,2,0,10,6,8,0,0,1
1,2,0,16,9,12,0,0,1
0,3,0,10,5,14,0,0,1
1,3,0,34,20,32,0,1,0
0,2,1,12,6,11,0,0,1
1,1,0,13,13,11,0,1,0
1,3,0,20,7,8,0,0,0
0,2,0,12,8,20,0,1,1
0,2,0,12,9,19,0,0,1
0,1,0,11,8,24,0,0,0
0,3,0,8,3,9,0,0,0
1,2,0,17,16,11,0,1,1
0,2,0,7,5,19,0,0,1
1,3,0,24,17,16,0,0,1
0,2,0,6,2,17,0,0,1
1,3,0,17,12,23,0,1,1
0,2,0,15,6,14,0,0,1
0,3,0,12,6,27,0,0,1
1,3,0,33,27,15,0,0,1
1,1,0,42,36,7,0,0,1
0,2,0,8,5,3,1,0,1
